species_id,old_name,new_name,category,column,old_value,new_value
1007015,,Nannospalax_intermedius,added,,,
1007004,,Myotis_badius,added,,,
1006986,,Murina_philippinensis,added,,,
1006997,,Myotis_kalkoae,added,,,
1007012,,Nannospalax_ceyhanus,added,,,
1007017,,Diplomesodon_sonnerati,added,,,
1007003,,Ctenomys_lentulus,added,,,
1007007,,Thylamys_pulchellus,added,,,
1006989,,Thrichomys_dandreai,added,,,
1007010,,Microdipodops_polionotus,added,,,
1006991,,Petaurista_nujiangensis,added,,,
1006985,,Murina_mindorensis,added,,,
1007019,,Ratufa_gigantea,added,,,
1007023,,Arvicanthis_somalicus,added,,,
1006994,,Daptomys_mussoi,added,,,
1007024,,Arvicanthis_saturatus,added,,,
1006981,,Murina_alvarezi,added,,,
1007022,,Arvicanthis_mearnsi,added,,,
1007020,,Mazama_tschudii,added,,,
1007011,,Microdipodops_ruficollaris,added,,,
1006995,,Euroscaptor_darwini,added,,,
1006984,,Murina_luzonensis,added,,,
1007013,,Nannospalax_colaki,added,,,
1007000,,Holochilus_vulpinus,added,,,
1007016,,Nannospalax_karyominor,added,,,
1006987,,Bettongia_haoucharae,added,,,
1007018,,Mustela_mopbie,added,,,
1006983,,Murina_hilonghilong,added,,,
1007001,,Soriculus_dexingensis,added,,,
1007009,,Microdipodops_oregonus,added,,,
1006998,,Eospalax_minshanensis,added,,,
1006999,,Alticola_yarlungius,added,,,
1006992,,Daptomys_nunashae,added,,,
1007008,,Microdipodops_albiventer,added,,,
1007021,,Arvicanthis_raffertyi,added,,,
1007005,,Thylamys_bruchi,added,,,
1006982,,Murina_baletei,added,,,
1007014,,Nannospalax_garzanensis,added,,,
1006996,,Arielulus_drungicus,added,,,
1006993,,Daptomys_musseri,added,,,
1006988,,Bettongia_ogilbyi,added,,,
1006990,,Dryomys_anatolicus,added,,,
1007006,,Thylamys_citellus,added,,,
1007002,,Oreoryzomys_huancabambensis,added,,,
1007025,,Mus_proconodon,added,,,
1003838,Solenodon_arredondoi,Atopogale_arredondoi,changed,authorityParentheses,0,1
1003421,Parotomys_littledalei,Otomys_littledalei,changed,authorityParentheses,0,1
1000430,Bradypus_torquatus,Bradypus_torquatus,changed,authorityParentheses,0,1
1005569,Thainycteris_aureocollaris,Arielulus_aureocollaris,changed,authorityParentheses,0,1
1005570,Thainycteris_torquata,Arielulus_torquatus,changed,authorityParentheses,1,0
1006879,Neohylomys_vietnamensis,Neohylomys_vietnamensis,changed,authoritySpeciesAuthor,"A. A. Bannikova, Lebedev, Gorchkhanov, Fei, Dinh The Dung, Bui Tuan Hai, Kruskop, Rozhnov, & Abramov","Bannikova, Lebedev, Gorchkhanov, Fei, Dinh The Dung, Bui Tuan Hai, Kruskop, Rozhnov, & Abramov"
1006962,Sorex_nivicola,Sorex_nivicola,changed,authoritySpeciesAuthor,"A. A. Bannikova, P. D. Jenkins, Lebedev, Pavlova, & B. I. Sheftel in A. A. Bannikova, P. D. Jenkins, Lebedev, Pavlova, Yakushov, Raspopova, Zhu Yongke, Fang Yun, Sun Yuehua, & B. I. Sheftel","Bannikova, P. D. Jenkins, Lebedev, Pavlova, & B. I. Sheftel in Bannikova, P. D. Jenkins, Lebedev, Pavlova, Yakushov, Raspopova, Zhu Yongke, Fang Yun, Sun Yuehua, & B. I. Sheftel"
1006515,Alexandromys_alpinus,Alexandromys_alpinus,changed,authoritySpeciesAuthor,"A. A. Lissovsky, Yatsentyuk, T. V. Petrova, & N. I. Abramson in A. A. Lissovsky, T. V. Petrova, Yatsentyuk, Golenishchev, Putincev, Kartavtseva, Sheremetyeva, & N. I. Abramson","Lissovsky, Yatsentyuk, Petrova, & Abramson in Lissovsky, Petrova, Yatsentyuk, Golenishchev, Putincev, Kartavtseva, Sheremetyeva, & Abramson"
1006893,Typhlomys_taxuansis,Typhlomys_taxuansis,changed,authoritySpeciesAuthor,"A. Balakirev, Bui Phuong, & Rozhnov","A. E. Balakirev, Bui Phuong, & Rozhnov"
1001310,Ctenomys_bicolor,Ctenomys_bicolor,changed,authoritySpeciesAuthor,A. de Miranda-Ribeiro,de Miranda-Ribeiro
1001358,Ctenomys_rondoni,Ctenomys_rondoni,changed,authoritySpeciesAuthor,A. de Miranda-Ribeiro,de Miranda-Ribeiro
1003000,Gerbilliscus_tytonis,Gerbilliscus_tytonis,changed,authoritySpeciesAuthor,Bauer & Niethammer,K. Bauer & Niethammer
1006579,Mico_schneideri,Mico_schneideri,changed,authoritySpeciesAuthor,"Costa-Araújo, e Silva Júnior, J. P. Boubli, R. V. Rossi, Hrbek, & Farias in Costa-Araújo, e Silva Júnior, J. P. Boubli, R. V. Rossi, G. R. Canale, F. R. Melo, Bertuol, F. E. Silva, D. A. Silva, S. D. Nash, I. Sampaio, Farias, & Hrbek","Costa-Araújo, e Silva Júnior, Boubli, R. V. Rossi, Hrbek, & Farias in Costa-Araújo, e Silva Júnior, Boubli, R. V. Rossi, G. R. Canale, F. R. Melo, Bertuol, F. E. Silva, D. A. Silva, S. D. Nash, I. Sampaio, Farias, & Hrbek"
1000802,Mico_munduruku,Mico_munduruku,changed,authoritySpeciesAuthor,"Costa-Araújo, Farias, & Hrbek in Costa-Araújo, de Melo, G. R. Canale, Hernández-Rangel, M. R. Messias, R. V. Rossi, F. E. Silva, M. N. F. da Silva, S. D. Nash, J. P. Boubli, Farias, & Hrbek","Costa-Araújo, Farias, & Hrbek in Costa-Araújo, de Melo, G. R. Canale, Hernández-Rangel, M. R. Messias, R. V. Rossi, F. E. Silva, M. N. F. da Silva, S. D. Nash, Boubli, Farias, & Hrbek"
1006644,Cacajao_amuna,Cacajao_amuna,changed,authoritySpeciesAuthor,"F. E. Silva, do Amaral, Roos, Bowler, Röhe, R. Sampaio, Janiak, Bertuol, Santana, e Silva Júnior, Rylands, Gubili, Hrbek, McDevitt, & J. P. Boubli","F. E. Silva, do Amaral, Roos, Bowler, Röhe, R. Sampaio, Janiak, Bertuol, Santana, e Silva Júnior, Rylands, Gubili, Hrbek, McDevitt, & Boubli"
1006696,Saguinus_kulina,Saguinus_kulina,changed,authoritySpeciesAuthor,"G. P. Lopes, Rohe, Bertuol, E. Polo, I. J. Lima, Valsecchi, T. C. M. Santos, S. D. Nash, M. N. F. da Silva, J. P. Boubli, Farias, & Hrbek","G. P. Lopes, Röhe, Bertuol, Polo, I. J. Lima, Valsecchi, T. C. M. Santos, S. D. Nash, M. N. F. da Silva, Boubli, Farias, & Hrbek"
1006652,Chionomys_stekolnikovi,Chionomys_stekolnikovi,changed,authoritySpeciesAuthor,"Golenishchev, Malikov, A. A. Bannikova, A. E. Zykov, Yiğit, & E. Çolak","Golenishchev, Malikov, Bannikova, A. E. Zykov, Yiğit, & E. Çolak"
1000887,Plecturocebus_parecis,Plecturocebus_parecis,changed,authoritySpeciesAuthor,"Gusmão, M. R. Messias, J. C. Carneiro, H. Schneider, T. B. de Alencar, Calouro, J. C. Dalponte, Mattos, S. F. Ferrari, Buss, de Azevedo, Santos Júnior, S. D. Nash, Rylands, & A. A. Barnett","Gusmão, M. R. Messias, J. C. Carneiro, H. Schneider, T. B. de Alencar, Calouro, J. C. Dalponte, Mattos, Ferrari, Buss, de Azevedo, Santos Júnior, S. D. Nash, Rylands, & A. A. Barnett"
1005537,Glauconycteris_atra,Glauconycteris_atra,changed,authoritySpeciesAuthor,"Hassanin, R. Colombo, Gembu, Merle, Vuong Tan Tu, T. Görföl, Akawa, Csorba, T. Kearney, Monadjem, & Ing","Hassanin, R. Colombo, Gembu, Merle, Vuong Tan Tu, T. Görföl, Akawa, Csorba, Kearney, Monadjem, & Ing"
1000876,Plecturocebus_discolor,Plecturocebus_leucometopus,changed,authoritySpeciesAuthor,I. Geoffroy Saint-Hilaire & Deville,Cabrera
1005150,Mops_chapini,Mops_chapini,changed,authoritySpeciesAuthor,"J. A. Allen in J. A. Allen, Lang, & Chapin","J. A. Allen in J. A. Allen, H. Lang, & Chapin"
1005535,Glauconycteris_alboguttata,Glauconycteris_alboguttata,changed,authoritySpeciesAuthor,"J. A. Allen in J. A. Allen, Lang, & Chapin","J. A. Allen in J. A. Allen, H. Lang, & Chapin"
1005216,Mops_nanulus,Mops_nanulus,changed,authoritySpeciesAuthor,"J. A. Allen in J. A. Allen, Lang, & Chapin","J. A. Allen in J. A. Allen, H. Lang, & Chapin"
1005161,Mops_russatus,Mops_russatus,changed,authoritySpeciesAuthor,"J. A. Allen in J. A. Allen, Lang, & Chapin","J. A. Allen in J. A. Allen, H. Lang, & Chapin"
1005223,Mops_trevori,Mops_trevori,changed,authoritySpeciesAuthor,"J. A. Allen in J. A. Allen, Lang, & Chapin","J. A. Allen in J. A. Allen, H. Lang, & Chapin"
1006880,Rhinolophus_axillaris,Rhinolophus_axillaris,changed,authoritySpeciesAuthor,"J. A. Allen in J. A. Allen, Lang, & Chapin","J. A. Allen in J. A. Allen, H. Lang, & Chapin"
1005542,Glauconycteris_humeralis,Glauconycteris_humeralis,changed,authoritySpeciesAuthor,"J. A. Allen in J. A. Allen, Lang, & Chapin","J. A. Allen in J. A. Allen, H. Lang, & Chapin"
1005211,Mops_congicus,Mops_congicus,changed,authoritySpeciesAuthor,"J. A. Allen in J. A. Allen, Lang, & Chapin","J. A. Allen in J. A. Allen, H. Lang, & Chapin"
1004574,Hipposideros_abae,Hipposideros_abae,changed,authoritySpeciesAuthor,"J. A. Allen in J. A. Allen, Lang, & Chapin","J. A. Allen in J. A. Allen, H. Lang, & Chapin"
1005217,Mops_niangarae,Mops_niangarae,changed,authoritySpeciesAuthor,"J. A. Allen in J. A. Allen, Lang, & Chapin","J. A. Allen in J. A. Allen, H. Lang, & Chapin"
