MDDv2.3_Name,MDDv2.4_Name,Comment,Category,Reference
NA,Alticola_yarlungius,"recently described with the spelling 'yarlungia', but the name should be spelt 'yarlungius' given that the name is an adjective",de novo,"Tang, M.K., Qiu, H., Peng, B.Q., Liao, R., Murphy, R.W., Wang, X.M., Pan, X., Wang, X. and Liu, S.Y. 2025. A new species of _Alticola_ (Mammalia, Rodentia, Arvicolinae) from southern Tibet, China. Zoosystematics and Evolution 101(4):2387-2403. doi:10.3897/zse.101.170704"
NA,Bettongia_haoucharae,recently described extinct species,de novo,"Newman-Martin, J., Travouillon, K.J., Warburton, N., Barham, M. and Blyth, A.J. 2025-09-05. A taxonomic revision of the _Bettongia penicillata_ (Diprotodontia: Potoroidae) species complex and description of the subfossil species _Bettongia haoucharae_ sp. nov. Zootaxa 5690(1):1-69."
NA,Daptomys_nunashae,recently described,de novo,"Pacheco, V.R., Sánchez-Vendizú, P.Y., Fajardo, Ú., Cossíos, D. and Cadenillas, R. 2025. Hidden diversity in Daptomys (Rodentia: Cricetidae): a new species from lower montane forests of central Peru. Zootaxa 5696(4):451-481. doi:10.11646/zootaxa.5696.4.1"
NA,Diplomesodon_sonnerati,"originally described based on a drawing of a specimen similar to Diplomesodon pulchellus but in South Asia outside the range of D. pulchellus, but was considered a synonym of D. pulchellus or a nomen dubium until a recently deceased animal was photographed; the name is tentatively recognized as a species here pending further studies",de novo,"Cheke, A.S. 2011. Sonnerat's shrew – evidence for a new and possibly extinct species in an early 19th century manuscript (Mammalia: Soricidae). Journal of the Bombay Natural History Society 108(2):95-97. a#8028|Cheke, A.S., & Hume, J.P. 2018. The Réunion Fody and Sonnerat's Shrew and the Validity of Scientifically Naming Animals Described Without Physical Types. Zootaxa 4382(3):592-600. doi:10.11646/zootaxa.4382.3.10|Nizamudheen, M., Arockianathan, S., Shahir, M.S., Anbazhagan, A., & Rajaboopathi, B.K. 2025. Rediscovery of an ‘extinct’endemic mammal Sonnerat’s Shrew (_Diplomesodon sonnerati_ Cheke, 2012) in Nilgiris, Tamil Nadu, India. Iranian Journal of Animal Biosystematics 21(2):171-174. doi:10.22067/ijab.2025.90911.1089"
NA,Dryomys_anatolicus,recently described,de novo,"Çetintaş, O., Sözen, M., Irmak, S., Kalkan, K. K., Çolak, F., & Matur, F. (2025). Phylogeography of an Anatolian endemic and Alpine specialist woolly dormouse Dryomys laniger with a description of a new species. Communications Faculty of Sciences University of Ankara Series C Biology, 34(1), 1-35."
NA,Eospalax_minshanensis,recently described,de novo,"Liu, Y.-x., Zhang, T., He, Y., Wang, X.-m., Pan, X., Xu, R., Liao, R., Peng, B.-q., Zhou, C.-q. and Liu, S.-y. 2025. Re-interpreting the origin and diversification of the rodent genus _Eospalax_ (Spalacidae, Rodentia) with description of a new species. Zoological Journal of the Linnean Society 205(3):zlaf136. doi:10.1093/zoolinnean/zlaf136"
NA,Euroscaptor_darwini,recently described,de novo,"Nguyen, S. T., Bui, H. T., Dau, V. Q., Le, P. D., & Vu, Y. H. (2025).  Euroscaptor darwini sp. nov., a new species of mole (Mammalia, Eulipotyphla, Talpidae) from the north-central mountains in Vietnam. ZooKeys, 1255, 239."
NA,Murina_alvarezi,recently described,de novo,"Eger, J.L., Sedlock, J.L., Lim, B.K. and Heaney, L.R. 2025-09-08. Systematics and biogeography of tube-nosed bats, Murina (Mammalia, Chiroptera, Vespertilionidae), from the Philippines with descriptions of six new species. Zootaxa 5691(1):1-44."
NA,Murina_baletei,recently described,de novo,"Eger, J.L., Sedlock, J.L., Lim, B.K. and Heaney, L.R. 2025-09-08. Systematics and biogeography of tube-nosed bats, Murina (Mammalia, Chiroptera, Vespertilionidae), from the Philippines with descriptions of six new species. Zootaxa 5691(1):1-44."
NA,Murina_hilonghilong,recently described,de novo,"Eger, J.L., Sedlock, J.L., Lim, B.K. and Heaney, L.R. 2025-09-08. Systematics and biogeography of tube-nosed bats, Murina (Mammalia, Chiroptera, Vespertilionidae), from the Philippines with descriptions of six new species. Zootaxa 5691(1):1-44."
NA,Murina_luzonensis,recently described,de novo,"Eger, J.L., Sedlock, J.L., Lim, B.K. and Heaney, L.R. 2025-09-08. Systematics and biogeography of tube-nosed bats, Murina (Mammalia, Chiroptera, Vespertilionidae), from the Philippines with descriptions of six new species. Zootaxa 5691(1):1-44."
NA,Murina_mindorensis,recently described,de novo,"Eger, J.L., Sedlock, J.L., Lim, B.K. and Heaney, L.R. 2025-09-08. Systematics and biogeography of tube-nosed bats, Murina (Mammalia, Chiroptera, Vespertilionidae), from the Philippines with descriptions of six new species. Zootaxa 5691(1):1-44."
NA,Murina_philippinensis,recently described,de novo,"Eger, J.L., Sedlock, J.L., Lim, B.K. and Heaney, L.R. 2025-09-08. Systematics and biogeography of tube-nosed bats, Murina (Mammalia, Chiroptera, Vespertilionidae), from the Philippines with descriptions of six new species. Zootaxa 5691(1):1-44."
