Tabs,Columns,Explanation
MDD_Current,,Current species-level listing for the Mammal Diversity Database (MDD)
,sciName,"unique combination of taxonomic genus and specific epithet with an underscore connecting them to be used in the MDD.  Uses formula to fill cell from the 'genus' and 'specificEpithet' columns, DO NOT EDIT MANUALLY"
,id,"unique identification number used for indexing and permalinking; initially numbered (14 Sep 2020) as counting up from 1000001 when sorting by phylosort, suborder, infraorder... genus, speciesEpithet; subsequent numbering will be added from 1006485 and up"
,phylosort,"sort the 27 extant orders of mammals according to their phylogenetic hierarchy, following Figure 1 in the Introduction of Illustrated Checklist of the Mammals of the World (2020)"
,mainCommonName,"primary common name in the format used in the Handbook of the Mammals of the World series; all words capitalized unless it is the preceeding words in a hyphenated word; any 'and' statements in names are hyphenated (e.g., Black-and-white Ruffed Lemur) whereas directional names are not (Southwestern Myotis); consistency is attempted throughout a genus in terms of unique name and names based on the genus are typically avoided, although not exclusively (e.g., all Crocidura with the name 'White-toothed Shrew'; the use of White-bellied Rat instead of Niviventer as the common name for the genus Niviventer); the name is the most broadly encompasing named to avoid confusion when possible (e.g., the use of Wapiti for Cervus canadensis rather than 'Elk', which is also used for Alces alces in Europe)"
,otherCommonNames,other common names that have been used for the species as identified in literature; all names are separated by pipes (|) and follow the same format listed under 'mainCommonName'; these are usually restricted to English common names but common names from other languages are occassionally included when the name is widely used
,subclass,"taxonomic infraclass (if applicable); if not applicable, NA is listed in the cell"
,infraclass,"taxonomic infraclass (if applicable); if not applicable, NA is listed in the cell"
,magnorder,"taxonomic magnorder (if applicable); if not applicable, NA is listed in the cell"
,superorder,"taxonomic superorder (if applicable); if not applicable, NA is listed in the cell"
,order,taxonomic order; all taxa are included in an order
,suborder,"taxonomic suborder (if applicable), if not applicable, NA is listed in the cell; incertae sedis is listed for taxa that are not assigned to a specific suborder when suborders are used in the order it is included under"
,infraorder,"taxonomic parvorder (if applicable), if not applicable, NA is listed in the cell; incertae sedis is listed for taxa that are not assigned to a specific parvorder when parvorders are used in the order it is included under"
,parvorder,"taxonomic infraorder (if applicable), if not applicable, NA is listed in the cell; incertae sedis is listed for taxa that are not assigned to a specific infraorder when infraorders are used in the order it is included under"
,superfamily,"taxonomic superfamily (if applicable), if not applicable, NA is listed in the cell; incertae sedis is listed for taxa that are not assigned to a specific superfamily when superfamilies are used in the order it is included under"
,family,taxonomic family; all taxa are included in a family
,subfamily,"taxonomic subfamily (if applicable), if not applicable, NA is listed in the cell; incertae sedis is listed for taxa that are not assigned to a specific subfamily when subfamilies are used in the family it is included under"
