species_id,sci_name,sci_name_space,family,order,type_locality,type_voucher,museum_abbreviation,geocode_query,type_lat_suggested,type_lon_suggested,coordinate_uncertainty_m,geocode_method,geocode_confidence,geocode_notes,review_status,qc_decision,qc_notes,qc_reviewed,qc_review_notes
1002796,Thomasomys_contradictus,Thomasomys contradictus,Cricetidae,Rodentia,"Santa Isabel, Quindío, Colombia.",AMNH M-32955,AMNH,"Santa Isabel, Quindío, Colombia",4.568876,-75.64839,50000,nominatim,medium,"Nominatim query derived from type_locality for Thomasomys_contradictus.; match=Conjunto Residencial Quintas de Santa Isabel, Comuna Quimbaya, Perímetro Urbano Armenia, Armenia, Capital, Quindío, RAP Eje Cafetero, Colombia",proposed,accept,[auto] country hint matches Nominatim result,accept,No obvious country/locality mismatch detected.
1002809,Thomasomys_ladewi,Thomasomys ladewi,Cricetidae,Rodentia,"""Rio Aceramarca, northeast of La Paz, Bolivia, altitude 10,800 feet [= 3292 m].""",AMNH M-72113,AMNH,"3292 m, United States of America",41.60224,-84.763094,50000,nominatim,medium,"Nominatim query derived from type_locality for Thomasomys_ladewi.; match=3292, County Road M, Berlin, Florence Township, Williams County, Ohio, 43518, United States",proposed,review,"[auto] medium confidence, no country rule",accept,No obvious country/locality mismatch detected.
1002815,Thomasomys_notatus,Thomasomys notatus,Cricetidae,Rodentia,"Torontoy, Cusco, Peru.",USNM:MAMM:194548,USNM,"Torontoy, Cusco, Peru",-13.206206,-72.451365,50000,nominatim,medium,"Nominatim query derived from type_locality for Thomasomys_notatus.; match=Torontoy, Inca Trail, Patallacta, Ollantaytambo, Urubamba, Cusco, Perú",proposed,accept,[auto] country hint matches Nominatim result,accept,No obvious country/locality mismatch detected.
1002817,Thomasomys_oreas,Thomasomys oreas,Cricetidae,Rodentia,"""Cocopunco, about 80 miles [= 129 km] north of La Paz, Bolivia, altitude 10,000 feet [= 3048 m].""",AMNH M-72130,AMNH,"129 km, United States of America",32.788557,-117.116402,50000,nominatim,medium,"Nominatim query derived from type_locality for Thomasomys_oreas.; match=KM Petrol Pipeline Terminal, Grantville, San Diego, San Diego County, California, United States",proposed,review,"[auto] medium confidence, no country rule",accept,No obvious country/locality mismatch detected.
1002838,Tylomys_bullaris,Tylomys bullaris,Cricetidae,Rodentia,"""Tuxtla [Gutiérrez], Chiapas, Mexico.""",USNM:MAMM:76058,USNM,"Tuxtla [Gutiérrez], Chiapas, Mexico",16.753801,-93.115959,50000,nominatim,medium,"Nominatim query derived from type_locality for Tylomys_bullaris.; match=Tuxtla Gutiérrez, Chiapas, 29019, México",proposed,accept,[auto] country hint matches Nominatim result,accept,No obvious country/locality mismatch detected.
1002841,Tylomys_nudicaudus,Tylomys nudicaudus,Cricetidae,Rodentia,"""Guatemala.""",NMB 750,NMB,Guatemala,15.585555,-90.345759,50000,nominatim,medium,Nominatim query derived from type_locality for Tylomys_nudicaudus.; match=Guatemala,proposed,accept,[auto] country hint matches Nominatim result,accept,No obvious country/locality mismatch detected.
1002842,Tylomys_panamensis,Tylomys panamensis,Cricetidae,Rodentia,"""Panama.""",BMNH:Mamm:1873.6.12.1,BMNH,Panama,8.559559,-81.130843,50000,nominatim,medium,Nominatim query derived from type_locality for Tylomys_panamensis.; match=Panamá,proposed,accept,[auto] country hint matches Nominatim result,accept,No obvious country/locality mismatch detected.
1002843,Tylomys_tumbalensis,Tylomys tumbalensis,Cricetidae,Rodentia,"""Tumbala, Chiapas, Mexico.""",USNM:MAMM:76059,USNM,"Tumbala, Chiapas, Mexico",17.309886,-92.282286,50000,nominatim,medium,"Nominatim query derived from type_locality for Tylomys_tumbalensis.; match=Tumbalá, Chiapas, México",proposed,accept,[auto] country hint matches Nominatim result,accept,No obvious country/locality mismatch detected.
1002833,Wilfredomys_oenax,Wilfredomys oenax,Cricetidae,Rodentia,"São Lourenço do Sul, Rio Grande do Sul, Brazil.",BMNH:Mamm:1927.11.19.44,BMNH,"São Lourenço do Sul, Rio Grande do Sul, Brazil",-31.366929,-51.981484,50000,nominatim,medium,"Nominatim query derived from type_locality for Wilfredomys_oenax.; match=São Lourenço do Sul, Rio Grande do Sul, Região Sul, 96170-000, Brasil",proposed,accept,[auto] country hint matches Nominatim result,accept,No obvious country/locality mismatch detected.
1000437,Cyclopes_dorsalis,Cyclopes dorsalis,Cyclopedidae,Pilosa,"""Costa Rica.""",BMNH:Mamm:1865.5.18.14,BMNH,"Costa Rica, United Kingdom",53.42437,-1.449242,50000,nominatim,medium,"Nominatim query derived from type_locality for Cyclopes_dorsalis.; match=Costa Rica Pizza, 151A, Hatfield House Lane, Sheffield Lane Top, Firth Park, Sheffield, South Yorkshire, England, S5 6HX, United Kingdom",proposed,review,"[auto] medium confidence, no country rule",accept,No obvious country/locality mismatch detected.
1000421,Dasypus_beniensis,Dasypus beniensis,Dasypodidae,Cingulata,"near confluence of Rio Madre de Dios with Rio Beni, Victoria, Bolivia.",NHRM 583386,NHRM,"Confluence Rio Madre de Dios and Rio Beni, Beni, Bolivia",-11.01,-66.06,30000,manual_literature,medium,"Near confluence of Rio Madre de Dios with Rio Beni, Victoria, Bolivia. Coordinates placed at Riberalta-area confluence; specimen said to be ~3 km away.",proposed,accept,[auto] curated manual_literature,accept,No obvious country/locality mismatch detected.
1006877,Dasypus_mexicanus,Dasypus mexicanus,Dasypodidae,Cingulata,"Mexico. Restricted to Colima, Mexico by Bailey (1905) and to Matamoros, Tamaulipas, Mexico by Hollister (1925); Bailey's designation is used here following Gardner and Ramírez-Pulido (2020).",ZMB 2743,ZMB,Mexico,23.658512,-102.00771,50000,nominatim,medium,Nominatim query derived from type_locality for Dasypus_mexicanus.; match=México,proposed,accept,[auto] country hint matches Nominatim result,accept,No obvious country/locality mismatch detected.
1000426,Dasypus_pilosus,Dasypus pilosus,Dasypodidae,Cingulata,"""Peru."" Restricted by R. M. Wetzel and E. Mondolfi in 1979 to montane Peru.",NMW 222,NMW,Peru,-6.86997,-75.045851,50000,nominatim,medium,Nominatim query derived from type_locality for Dasypus_pilosus.; match=Perú,proposed,accept,[auto] country hint matches Nominatim result,accept,No obvious country/locality mismatch detected.
1001215,Dasyprocta_azarae,Dasyprocta azarae,Dasyproctidae,Rodentia,"""E provincia San. Paulo [= São Paulo] Brasil.""",ZMB 1044,ZMB,"São Paulo, Germany",-23.586882,-46.681892,50000,nominatim,medium,"Nominatim query derived from type_locality for Dasyprocta_azarae.; match=Consulado Geral da Alemanha, 3477, Avenida Brigadeiro Faria Lima, Vila Olímpia, Itaim Bibi, São Paulo, Região Sudeste, 04538-133, Brasil",proposed,accept,[auto] country hint matches Nominatim result,accept,No obvious country/locality mismatch detected.
1000195,Antechinomys_laniger,Antechinomys laniger,Dasyuridae,Dasyuromorphia,"interior New South Wales, Australia.","BMNH:Mamm:1847.12.4.5, BMNH:Mamm:1847.8.14.22",BMNH,"interior New South Wales, Australia",-33.763904,150.77439,50000,nominatim,medium,"Nominatim query derived from type_locality for Antechinomys_laniger.; match=T & L Furniture Interior Gifts, Queen Street, St Marys, Sydney, New South Wales, 2760, Australia",proposed,accept,[auto] country hint matches Nominatim result,accept,No obvious country/locality mismatch detected.
1000211,Antechinomys_longicaudatus,Antechinomys longicaudatus,Dasyuridae,Dasyuromorphia,"Western Australia, Australia.",NMV C7803,NMV,"Western Australia, Australia",-25.2303,121.018725,50000,nominatim,medium,"Nominatim query derived from type_locality for Antechinomys_longicaudatus.; match=Western Australia, Australia",proposed,accept,[auto] country hint matches Nominatim result,accept,No obvious country/locality mismatch detected.
1006955,Antechinomys_spenceri,Antechinomys spenceri,Dasyuridae,Dasyuromorphia,"Charlotte Waters, Northern Territory, Australia.",BMNH:Mamm:1897.11.3.12,BMNH,"Charlotte Waters, Northern Territory, Australia",-25.914501,134.892973,50000,nominatim,medium,"Nominatim query derived from type_locality for Antechinomys_spenceri.; match=Charlotte Waters, Ghan, Northern Territory, 0872, Australia",proposed,accept,[auto] country hint matches Nominatim result,accept,No obvious country/locality mismatch detected.
1000171,Antechinus_bellus,Antechinus bellus,Dasyuridae,Dasyuromorphia,"South Alligator River, Northern Territory, Australia.",BMNH:Mamm:1904.1.3.102,BMNH,"South Alligator River, Northern Territory, Australia",-13.314243,132.345324,50000,nominatim,medium,"Nominatim query derived from type_locality for Antechinus_bellus.; match=South Alligator River, Northern Territory, Australia",proposed,accept,[auto] country hint matches Nominatim result,accept,No obvious country/locality mismatch detected.
1000146,Dasyuroides_byrnei,Dasyuroides byrnei,Dasyuridae,Dasyuromorphia,"Charlotte Waters, Northern Territory, Australia.",NMV C6323,NMV,"Charlotte Waters, Northern Territory, Australia",-25.914501,134.892973,50000,nominatim,medium,"Nominatim query derived from type_locality for Dasyuroides_byrnei.; match=Charlotte Waters, Ghan, Northern Territory, 0872, Australia",proposed,accept,[auto] country hint matches Nominatim result,accept,No obvious country/locality mismatch detected.
1000148,Dasyurus_geoffroii,Dasyurus geoffroii,Dasyuridae,Dasyuromorphia,"Liverpool Plains, New South Wales, Australia.",BMNH:Mamm:1841.1213,BMNH,"Liverpool Plains, New South Wales, Australia",-31.470197,150.394271,50000,nominatim,medium,"Nominatim query derived from type_locality for Dasyurus_geoffroii.; match=Liverpool Plains Shire Council, New South Wales, Australia",proposed,accept,[auto] country hint matches Nominatim result,accept,No obvious country/locality mismatch detected.
1000197,Ningaui_timealeyi,Ningaui timealeyi,Dasyuridae,Dasyuromorphia,"32.2 km SE Mt. Robinson, Western Australia, Australia.",WAM M6181,WAM,"32, Australia",-34.670146,-58.533085,50000,nominatim,medium,"Nominatim query derived from type_locality for Ningaui_timealeyi.; match=32, Australia, Villa Larrumbre, Lomas del Mirador, Partido de La Matanza, Buenos Aires, 1752, Argentina",proposed,accept,[auto] country hint matches Nominatim result,accept,No obvious country/locality mismatch detected.
1000158,Parantechinus_apicalis,Parantechinus apicalis,Dasyuridae,Dasyuromorphia,"south-west Western Australia, Australia.","BMNH:Mamm:1842.8.18.3, BMNH:Mamm:1844.6.15.8",BMNH,"south-west Western Australia, Australia",-31.918274,115.981772,50000,nominatim,medium,"Nominatim query derived from type_locality for Parantechinus_apicalis.; match=Adelaide Street, South Guildford, Perth, Western Australia, 6055, Australia",proposed,accept,[auto] country hint matches Nominatim result,accept,No obvious country/locality mismatch detected.
1000188,Phascogale_pirata,Phascogale pirata,Dasyuridae,Dasyuromorphia,"South Alligator River, Northern Territory, Australia.",BMNH:Mamm:1904.1.3.100,BMNH,"South Alligator River, Northern Territory, Australia",-13.314243,132.345324,50000,nominatim,medium,"Nominatim query derived from type_locality for Phascogale_pirata.; match=South Alligator River, Northern Territory, Australia",proposed,accept,[auto] country hint matches Nominatim result,accept,No obvious country/locality mismatch detected.
1000191,Planigale_ingrami,Planigale ingrami,Dasyuridae,Dasyuromorphia,"Alexandria, Northern Territory, Australia.",BMNH:Mamm:1906.3.9.77,BMNH,"Alexandria, Northern Territory, Australia",-19.031796,136.649865,50000,nominatim,medium,"Nominatim query derived from type_locality for Planigale_ingrami.; match=Iluwurru, Northern Territory, Australia",proposed,accept,[auto] country hint matches Nominatim result,accept,No obvious country/locality mismatch detected.
1000192,Planigale_maculata,Planigale maculata,Dasyuridae,Dasyuromorphia,"Clarence River, New South Wales, Australia.",BMNH:Mamm:1853.10.22.21,BMNH,"Clarence River, New South Wales, Australia",-29.207293,152.59221,50000,nominatim,medium,"Nominatim query derived from type_locality for Planigale_maculata.; match=Clarence River, New South Wales, Australia",proposed,accept,[auto] country hint matches Nominatim result,accept,No obvious country/locality mismatch detected.
1000202,Sminthopsis_crassicaudata,Sminthopsis crassicaudata,Dasyuridae,Dasyuromorphia,"Williams River, Western Australia, Australia.","BMNH:Mamm:1844.10.15.4, BMNH:Mamm:1844.7.9.10",BMNH,"Williams River, Western Australia, Australia",-33.046442,116.557086,50000,nominatim,medium,"Nominatim query derived from type_locality for Sminthopsis_crassicaudata.; match=Williams River, Williams, Western Australia, 6391, Australia",proposed,accept,[auto] country hint matches Nominatim result,accept,No obvious country/locality mismatch detected.
1000208,Sminthopsis_granulipes,Sminthopsis granulipes,Dasyuridae,Dasyuromorphia,"King George Sound (Albany), Western Australia, Australia.",AM PA.669,AM,"King George Sound (Albany), Western Australia, Australia",-35.04804,117.97675,50000,nominatim,medium,"Nominatim query derived from type_locality for Sminthopsis_granulipes.; match=King George Sound, Albany, Western Australia, Australia",proposed,accept,[auto] country hint matches Nominatim result,accept,No obvious country/locality mismatch detected.
1000209,Sminthopsis_hirtipes,Sminthopsis hirtipes,Dasyuridae,Dasyuromorphia,"Charlotte Waters, Northern Territory, Australia.",BMNH:Mamm:1897.12.17.1,BMNH,"Charlotte Waters, Northern Territory, Australia",-25.914501,134.892973,50000,nominatim,medium,"Nominatim query derived from type_locality for Sminthopsis_hirtipes.; match=Charlotte Waters, Ghan, Northern Territory, 0872, Australia",proposed,accept,[auto] country hint matches Nominatim result,accept,No obvious country/locality mismatch detected.
1000210,Sminthopsis_leucopus,Sminthopsis leucopus,Dasyuridae,Dasyuromorphia,"Tasmania, Australia.","BMNH:Mamm:1841.1812, BMNH:Mamm:1843.5.31.15",BMNH,"Tasmania, Australia",-42.035067,146.636689,50000,nominatim,medium,"Nominatim query derived from type_locality for Sminthopsis_leucopus.; match=Tasmania, Australia",proposed,accept,[auto] country hint matches Nominatim result,accept,No obvious country/locality mismatch detected.
1000212,Sminthopsis_macroura,Sminthopsis macroura,Dasyuridae,Dasyuromorphia,"Darling Downs, Queensland, Australia.",BMNH:Mamm:1846.4.4.62,BMNH,"Darling Downs, Queensland, Australia",-27.11709,150.894641,50000,nominatim,medium,"Nominatim query derived from type_locality for Sminthopsis_macroura.; match=Darling Downs Power Station, Kogan, Queensland, 4406, Australia",proposed,accept,[auto] country hint matches Nominatim result,accept,No obvious country/locality mismatch detected.
