species_id,sci_name,sci_name_space,main_common_name,order,family,genus,type_voucher,type_kind,type_locality,type_lat,type_lon,museum_abbreviation,museum_name,museum_location,museum_country,qc_reviewed,qc_review_notes,geocode_phase,geocode_query,type_lat_suggested,type_lon_suggested,coordinate_uncertainty_m,geocode_method,geocode_confidence,geocode_notes,review_status
1003499,Abditomys_latidens,Abditomys latidens,Luzon Broad-toothed Rat,Rodentia,Muridae,Abditomys,FMNH:Mamm:62347,holotype,"""Mount Data, altitude 7,500 feet [= 2286 m], Mountain Province, Luzon Island, Philippine Island.""",nan,nan,FMNH,Field Museum of Natural History,"Chicago, United States of America",United States of America,,,nominatim,"2286 m, United States of America",41.602474,-84.783082,50000,nominatim,medium,"Nominatim query derived from type_locality for Abditomys_latidens.; match=2286, County Road M, Florence Township, Williams County, Ohio, 43518, United States",proposed
1003127,Abeomelomys_sevia,Abeomelomys sevia,Papuan Highland Brush Mouse,Rodentia,Muridae,Abeomelomys,AMNH M-79755,holotype,"""Sevia, Cromwell Range, Huon Peninsula, Mandated Territory of New Guinea [= Morobe Province, Papua New Guinea]; 1400 m.""",nan,nan,AMNH,American Museum of Natural History,"New York, United States of America",United States of America,,,nominatim,"Morobe Province, Papua New Guinea, United States of America",,,,nominatim_no_match,none,Nominatim query derived from type_locality for Abeomelomys_sevia.,no_estimate
1001295,Abrocoma_bennettii,Abrocoma bennettii,Bennett's Chinchilla Rat,Rodentia,Abrocomidae,Abrocoma,,,"""Chile."" Modified by G. R. Waterhouse in 1839 based on C. Darwin's restriction of ""near old village of Aconcagua [= Plaza Vieja, ca. 5 km W Los Andes], Valparaiso, Chile.""",nan,nan,,,,,,,skipped,,,,,skipped,none,missing_type_voucher,skipped
1001298,Abrocoma_cinerea,Abrocoma cinerea,Ashy Chinchilla Rat,Rodentia,Abrocomidae,Abrocoma,BMNH:Mamm:1919.8.2.29,holotype,"""Cerro Casabindo, 4800 m,"" Jujuy, Argentina.",nan,nan,BMNH,"Natural History Museum, London","London, United Kingdom",United Kingdom,,,nominatim,"Cerro Casabindo, United Kingdom",,,,nominatim_no_match,none,Nominatim query derived from type_locality for Abrocoma_cinerea.,no_estimate
1001300,Abrocoma_schistacea,Abrocoma schistacea,Sierra del Tontal Chinchilla Rat,Rodentia,Abrocomidae,Abrocoma,BMNH:Mamm:1921.6.21.11,holotype,"""Los Sombreros, Sierra Tontal. Alt. 2700 m,"" San Juan, Argentina.",nan,nan,BMNH,"Natural History Museum, London","London, United Kingdom",United Kingdom,,,nominatim,"Los Sombreros, Sierra Tontal, United Kingdom",,,,nominatim_no_match,none,Nominatim query derived from type_locality for Abrocoma_schistacea.,no_estimate
1001302,Abrocoma_vaccarum,Abrocoma vaccarum,Mendozan Chinchilla Rat,Rodentia,Abrocomidae,Abrocoma,BMNH:Mamm:1921.6.24.20,holotype,"""Punta de Vacas, Altitude 3000 m, North-western Mendoza,"" Argentina.",nan,nan,BMNH,"Natural History Museum, London","London, United Kingdom",United Kingdom,,,nominatim,"Punta de Vacas, United Kingdom",,,,nominatim_no_match,none,Nominatim query derived from type_locality for Abrocoma_vaccarum.,no_estimate
1002371,Abrothrix_andina,Abrothrix andina,Andean Soft-haired Mouse,Rodentia,Cricetidae,Abrothrix,,,"Altos Andes, Metropolitana de Santiago, Chile.",nan,nan,,,,,,,skipped,,,,,skipped,none,missing_type_voucher,skipped
1006922,Abrothrix_gossei,Abrothrix gossei,Gosse's Soft-haired Mouse,Rodentia,Cricetidae,Abrothrix,BMNH:Mamm:1898.3.21.5,holotype,"""Puente del Inca, Andes of Mendoza. Alt. 10,000'"", Argentina.",nan,nan,BMNH,"Natural History Museum, London","London, United Kingdom",United Kingdom,,,nominatim,"Puente del Inca, Andes of Mendoza, United Kingdom",,,,nominatim_no_match,none,Nominatim query derived from type_locality for Abrothrix_gossei.,no_estimate
1002372,Abrothrix_hirta,Abrothrix hirta,Hairy Soft-haired Mouse,Rodentia,Cricetidae,Abrothrix,BMNH:Mamm:1860.1.5.15,holotype,"""Fort San Rafael, Mendoza,"" Argentina. Questioned by O. P. Pearson and H. A. Lagiglia in 1992 and changed to probably near Peteroa Volcano, on the Argentinean–Chilean border.",nan,nan,BMNH,"Natural History Museum, London","London, United Kingdom",United Kingdom,,,nominatim,"Fort San Rafael, Mendoza,"" Argentina, United Kingdom",,,,nominatim_no_match,none,Nominatim query derived from type_locality for Abrothrix_hirta.,no_estimate
1002373,Abrothrix_illutea,Abrothrix illutea,Gray Soft-haired Mouse,Rodentia,Cricetidae,Abrothrix,BMNH:Mamm:1925.3.1.13,holotype,"Concepcion [Concepción], 400 m, Tucuman [Tucumán], Argentina.",nan,nan,BMNH,"Natural History Museum, London","London, United Kingdom",United Kingdom,,,nominatim,"Concepcion [Concepción], United Kingdom",,,,nominatim_no_match,none,Nominatim query derived from type_locality for Abrothrix_illutea.,no_estimate
1002374,Abrothrix_jelskii,Abrothrix jelskii,Ornate Soft-haired Mouse,Rodentia,Cricetidae,Abrothrix,BMNH:Mamm:1885.4.1.44,holotype,"""Junin [Junín], Central Peru.""",nan,nan,BMNH,"Natural History Museum, London","London, United Kingdom",United Kingdom,accept,No obvious country/locality mismatch detected.,nominatim,"Junin [Junín], Central Peru",-11.420065,-75.724932,50000,nominatim,medium,"Nominatim query derived from type_locality for Abrothrix_jelskii.; match=Heladeria y productos lacteos Junin ""El Mirador"", Carretera Central, Huasqui, Cochas Bajo, Tarma, Junín, 12651, Perú; QC accept: No obvious country/locality mismatch detected.",proposed
1002375,Abrothrix_lanosa,Abrothrix lanosa,Woolly Soft-haired Mouse,Rodentia,Cricetidae,Abrothrix,BMNH:Mamm:1880.7.28.11,holotype,"""Monteith Bay, Straits of Magellan."" Clarified by M. Feijoo and colleagues in 2010 as Seno Monteith, Anafur, Madre de Dios Archipelago, Chile.",nan,nan,BMNH,"Natural History Museum, London","London, United Kingdom",United Kingdom,,,nominatim,"Monteith Bay, Straits of Magellan, United Kingdom",,,,nominatim_no_match,none,Nominatim query derived from type_locality for Abrothrix_lanosa.,no_estimate
1002376,Abrothrix_longipilis,Abrothrix longipilis,Long-haired Soft-haired Mouse,Rodentia,Cricetidae,Abrothrix,BMNH:Mamm:1855.12.24.177,holotype,"""Coquimbo,"" Coquimbo, Chile.",nan,nan,BMNH,"Natural History Museum, London","London, United Kingdom",United Kingdom,,,nominatim,"Coquimbo,"" Coquimbo, Chile, United Kingdom",,,,nominatim_no_match,none,Nominatim query derived from type_locality for Abrothrix_longipilis.,no_estimate
1002378,Abrothrix_olivacea,Abrothrix olivacea,Olive Soft-haired Mouse,Rodentia,Cricetidae,Abrothrix,BMNH:Mamm:1855.12.24.200,lectotype,"""Valparaiso,"" Valparaíso, Chile.",nan,nan,BMNH,"Natural History Museum, London","London, United Kingdom",United Kingdom,,,nominatim,"Valparaiso,"" Valparaíso, Chile, United Kingdom",,,,nominatim_no_match,none,Nominatim query derived from type_locality for Abrothrix_olivacea.,no_estimate
1002379,Abrothrix_sanborni,Abrothrix sanborni,Sanborn's Soft-haired Mouse,Rodentia,Cricetidae,Abrothrix,FMNH:Mamm:22726,holotype,"""mouth of Rio Inio, south end of Chiloe Island [= Isla Grande de Chiloé],"" Los Lagos, Chile.",nan,nan,FMNH,Field Museum of Natural History,"Chicago, United States of America",United States of America,,,nominatim,"Isla Grande de Chiloé, United States of America",,,,nominatim_no_match,none,Nominatim query derived from type_locality for Abrothrix_sanborni.,no_estimate
