sci_name,sci_name_space,main_common_name,order,family,genus,type_voucher,type_kind,type_locality,type_lat,type_lon,museum_full_name,museum_city,museum_country,institution_code,confidence,source_url
Abrawayaomys_ruschii,Abrawayaomys ruschii,Ruschi's Spiny Mouse,Rodentia,Cricetidae,Abrawayaomys,MN-UFRJ 23075,holotype,"""Forno Grande [= Parque Estadual do Forno Grande (20.5°S, 41.6°W)], município de Castelo, ES [= Espírito Santo], Brasil.""",-20.5,-41.6,"Museu Nacional, Universidade Federal do Rio de Janeiro",Rio de Janeiro,Brazil,MN (MNRJ),Hög,https://digitallibrary.amnh.org/server/api/core/bitstreams/9864b9ec-11a5-4018-819e-59f4053bc3ab/content; https://obis.org/institute/13167
Akodon_mystax,Akodon mystax,Caparao Grass Mouse,Rodentia,Cricetidae,Akodon,MN 31910,holotype,"Arrozal, 2300 m, Pico da Bandeira, western slope Mt. Caparaó, Minas Gerais, Brazil.",,,"Museu Nacional, Universidade Federal do Rio de Janeiro",Rio de Janeiro,Brazil,MN (MNRJ),Hög,https://digitallibrary.amnh.org/server/api/core/bitstreams/9864b9ec-11a5-4018-819e-59f4053bc3ab/content; https://obis.org/institute/13167
Brucepattersonius_griserufescens,Brucepattersonius griserufescens,Gray-bellied Brucie,Rodentia,Cricetidae,Brucepattersonius,MN 32016,holotype,"Terreirão, 2400 m, Parque Nacional do Caparaó, Minas Gerais, Brazil.",,,"Museu Nacional, Universidade Federal do Rio de Janeiro",Rio de Janeiro,Brazil,MN (MNRJ),Hög,https://digitallibrary.amnh.org/server/api/core/bitstreams/9864b9ec-11a5-4018-819e-59f4053bc3ab/content; https://obis.org/institute/13167
Cacajao_hosomi,Cacajao hosomi,Neblina Uacari,Primates,Pitheciidae,Cacajao,MN 68613,holotype,"""Imeri Mountains, Serra do Xamatá, Amazonas, Brazil, 0°29′30″S, 65°16′18″W.""",-0.49167,-65.2717,"Museu Nacional, Universidade Federal do Rio de Janeiro",Rio de Janeiro,Brazil,MN (MNRJ),Hög,https://digitallibrary.amnh.org/server/api/core/bitstreams/9864b9ec-11a5-4018-819e-59f4053bc3ab/content; https://obis.org/institute/13167
Cacajao_melanocephalus,Cacajao melanocephalus,Golden-brown Uacari,Primates,Pitheciidae,Cacajao,MN 68616,neotype,Rio Içá at the confluence with the Rio Solimões. Restricted by P. Hershkovitz in 1987 to the Rio Japurá on the north bank of its confluence with the Rio Solimões.,,,"Museu Nacional, Universidade Federal do Rio de Janeiro",Rio de Janeiro,Brazil,MN (MNRJ),Hög,https://digitallibrary.amnh.org/server/api/core/bitstreams/9864b9ec-11a5-4018-819e-59f4053bc3ab/content; https://obis.org/institute/13167
Calomys_cerqueirai,Calomys cerqueirai,Cerqueira's Vesper Mouse,Rodentia,Cricetidae,Calomys,MN 71971,holotype,"margins of Buraco do Cachorro stream, near to Capitão Andrade, Minas Gerais, Brazil.",-19.0764,-41.875,"Museu Nacional, Universidade Federal do Rio de Janeiro",Rio de Janeiro,Brazil,MN (MNRJ),Hög,https://digitallibrary.amnh.org/server/api/core/bitstreams/9864b9ec-11a5-4018-819e-59f4053bc3ab/content; https://obis.org/institute/13167
Calomys_tocantinsi,Calomys tocantinsi,Tocantins Vesper Mouse,Rodentia,Cricetidae,Calomys,MN 62733,holotype,"Rancho Beira Rio, 11°47'S, 49°45'W, 33 km south-west of Formoso do Araguala, Tocantins, Brazil.",-11.7833,-49.75,"Museu Nacional, Universidade Federal do Rio de Janeiro",Rio de Janeiro,Brazil,MN (MNRJ),Hög,https://digitallibrary.amnh.org/server/api/core/bitstreams/9864b9ec-11a5-4018-819e-59f4053bc3ab/content; https://obis.org/institute/13167
Cerradomys_akroai,Cerradomys akroai,Akroa Rice Rat,Rodentia,Cricetidae,Cerradomys,MN 80491,holotype,"near Porto Franco Hydroelectric Dam, Novo Jardim municipality, Tocantins, Brazil.",-11.8,-46.76667,"Museu Nacional, Universidade Federal do Rio de Janeiro",Rio de Janeiro,Brazil,MN (MNRJ),Hög,https://digitallibrary.amnh.org/server/api/core/bitstreams/9864b9ec-11a5-4018-819e-59f4053bc3ab/content; https://obis.org/institute/13167
Cerradomys_goytaca,Cerradomys goytaca,Goytaca Rice Rat,Rodentia,Cricetidae,Cerradomys,MN 73177,holotype,"Parque Nacional Restinga de Jurubatiba, Rio de Janeiro, Brazil.",-22.25,-41.65,"Museu Nacional, Universidade Federal do Rio de Janeiro",Rio de Janeiro,Brazil,MN (MNRJ),Hög,https://digitallibrary.amnh.org/server/api/core/bitstreams/9864b9ec-11a5-4018-819e-59f4053bc3ab/content; https://obis.org/institute/13167
Cerradomys_langguthi,Cerradomys langguthi,Langguth's Rice Rat,Rodentia,Cricetidae,Cerradomys,MN 69786,holotype,"Corredor São João-Fazenda Pacatuba, Sapé, State of Paraíba, Brazil.",-7.03333,-35.15,"Museu Nacional, Universidade Federal do Rio de Janeiro",Rio de Janeiro,Brazil,MN (MNRJ),Hög,https://digitallibrary.amnh.org/server/api/core/bitstreams/9864b9ec-11a5-4018-819e-59f4053bc3ab/content; https://obis.org/institute/13167
