sci_name,type_voucher,type_kind,matched_abbreviation,matched_name,review_date,review_outcome,review_note
Abrawayaomys_ruschii,MN-UFRJ 23075,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Akodon_mystax,MN 31910,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Brucepattersonius_griserufescens,MN 32016,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Cacajao_hosomi,MN 68613,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Cacajao_melanocephalus,MN 68616,neotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Calomys_cerqueirai,MN 71971,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Calomys_tocantinsi,MN 62733,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Cerradomys_akroai,MN 80491,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Cerradomys_goytaca,MN 73177,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Cerradomys_langguthi,MN 69786,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Cerradomys_maracajuensis,MN 44178,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Cerradomys_marinhus,MN 63830,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Cerradomys_scotti,MN 44176,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Cerradomys_vivoi,MN 35898,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Coendou_prehensilis,MN 73383,neotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Coendou_speratus,MN 72045,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Cryptonanus_agricolai,MN 1495,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Ctenomys_bicolor,MN 2025,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Ctenomys_rondoni,MN 2051,lectotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Delomys_altimontanus,MN 69746,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Gyldenstolpia_planaltensis,MN 21300,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
