species_id,sci_name,type_kind,type_voucher,voucher_matches_metadata,type_voucher_uri,uri_domain,inferred_institution_abbreviation,inference_note,review_action
1003742,Brachyuromys_ramirohitra,holotype,lost (number not known),no,https://data.nhm.ac.uk/object/c2ae898f-794e-448d-b7cd-f4a9dc96e20f,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Review-only signal; does not override voucher-prefix matching.
1003187,Leporillus_apicalis,holotype,lost (number not known),no,https://data.nhm.ac.uk/object/a81490a7-1c1f-4885-bbc3-8014b7d29c6e,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Review-only signal; does not override voucher-prefix matching.
1000755,Alouatta_arctoidea,nonexistent,lost (number not known),no,http://coldb.mnhn.fr/catalognumber/mnhn/zm/2007-1477,coldb.mnhn.fr,MNHN,Muséum national d'Histoire naturelle (Paris) catalog URI,Review-only signal; does not override voucher-prefix matching.
1000774,Brachyteles_arachnoides,nonexistent,lost (number not known),no,http://coldb.mnhn.fr/catalognumber/mnhn/zm/2007-1475,coldb.mnhn.fr,MNHN,Muséum national d'Histoire naturelle (Paris) catalog URI,Review-only signal; does not override voucher-prefix matching.
1000784,Callithrix_penicillata,holotype,lost (number not known),no,http://coldb.mnhn.fr/catalognumber/mnhn/zm/2007-1513,coldb.mnhn.fr,MNHN,Muséum national d'Histoire naturelle (Paris) catalog URI,Review-only signal; does not override voucher-prefix matching.
1000688,Semnopithecus_entellus,nonexistent,lost (number not known),no,http://coldb.mnhn.fr/catalognumber/mnhn/zm/2005-957,coldb.mnhn.fr,MNHN,Muséum national d'Histoire naturelle (Paris) catalog URI,Review-only signal; does not override voucher-prefix matching.
1001296,Abrocoma_boliviensis,holotype,BMNH:Mamm:1934.9.2.171,yes,https://data.nhm.ac.uk/object/040c8d9b-e702-459d-b883-e2c50cd2de80,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1001297,Abrocoma_budini,holotype,BMNH:Mamm:1920.3.17.62,yes,https://data.nhm.ac.uk/object/a9401b79-9b08-4ed9-b4d2-916106daad60,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1001298,Abrocoma_cinerea,holotype,BMNH:Mamm:1919.8.2.29,yes,https://data.nhm.ac.uk/object/dd7a238f-c5ba-448d-a54c-6d71a2ab805c,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1001300,Abrocoma_schistacea,holotype,BMNH:Mamm:1921.6.21.11,yes,https://data.nhm.ac.uk/object/beca7561-91c5-49a7-9d15-3f8dbcb9891b,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1001302,Abrocoma_vaccarum,holotype,BMNH:Mamm:1921.6.24.20,yes,https://data.nhm.ac.uk/object/bad27845-dc7f-461c-8108-76885dfc9be1,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
