sci_name,type_voucher
Tachyglossus_aculeatus,untraced (number not known)
Chironectes_minimus,untraced (number not known)
Didelphis_virginiana,untraced (number not known)
Lutreolina_crassicaudata,untraced (number not known)
Philander_quica,specimen collected by Natterer
Monodelphis_americana,untraced (number not known)
Dasyurus_maculatus,untraced (number not known)
Dasyurus_viverrinus,untraced (number not known)
Phascogale_tapoatafa,lost (number not known)
Myrmecobius_fasciatus,untraced (number not known)
Thylacinus_cynocephalus,untraced (number not known)
Echymipera_echinista,UPNG 3075
Echymipera_kalubu,lost (number not known)
Petrogale_penicillata,untraced (number not known)
Thylogale_brunii,lost (number not known)
Notamacropus_dorsalis,untraced (number not known)
Wallabia_bicolor,untraced (number not known)
Petaurus_australis,untraced (number not known)
Petaurus_norfolcensis,untraced (number not known)
Petauroides_volans,untraced (number not known)
Phalanger_orientalis,untraced (number not known)
Spilocuscus_maculatus,lost (number not known)
Trichosurus_vulpecula,untraced (number not known)
Phascolarctos_cinereus,untraced (number not known)
Vombatus_ursinus,untraced (number not known)
Cabassous_tatouay,lost (number not known)
Cabassous_unicinctus,"Seba pl. 30, fig. 3"
Dasypus_novemcinctus,Marcgrave's figured specimen
Choloepus_didactylus,untraced (number not known)
Hemicentetes_semispinosus,untraced (number not known)
Setifer_setosus,untraced (number not known)
Tenrec_ecaudatus,untraced (number not known)
Orycteropus_afer,lost (number not known)
Loxodonta_africana,untraced (number not known)
Procavia_capensis,lost (number not known)
Dugong_dugon,untraced (number not known)
Hydrodamalis_gigas,untraced (number not known)
Trichechus_manatus,untraced (number not known)
Trichechus_senegalensis,untraced (number not known)
Tupaia_glis,untraced (number not known)
Cercopithecus_ascanius,untraced (number not known)
Cercopithecus_diana,untraced (number not known)
Cercopithecus_mona,untraced (number not known)
Cercopithecus_nictitans,untraced (number not known)
Cercopithecus_petaurista,untraced (number not known)
Cercopithecus_roloway,untraced (number not known)
Chlorocebus_cynosuros,untraced (number not known)
Chlorocebus_sabaeus,untraced (number not known)
Erythrocebus_patas,untraced (number not known)
Cercocebus_sanjei,male figured and described by Homewood & Rodgers
Cercocebus_torquatus,untraced (number not known)
Lophocebus_osmani,PCM Cam. II 506
