voucher_prefix,species_count
UNTRACED,234
LOST,136
SPECIMEN,7
PHOTOGRAPHED,4
BUFFON'S,2
LINNMUS,2
BOHMANN,2
UPNG,1
SEBA,1
MARCGRAVE'S,1
MALE,1
PCM,1
LSNSAU,1
FCV,1
FIGURED,1
ZMVNU,1
038Y04KOA,1
002Y09FINA,1
001Y07HELY,1
TAFO6.1,1
"""_AVAHI_",1
UMAH,1
LAÂYOUNE,1
LARQ,1
RUSCONI,1
VG-Q1,1
PMS,1
PBS,1
NMU,1
TASHKENT,1
ASRU,1
UMRCNRS,1
CZUS,1
NEUHÄUSER,1
ĐULIĆ,1
RGM.444360,1
MUFAL,1
UIS:M:1608,1
MZUCV,1
YEREVAN,1
ABE,1
EPIY,1
VRC,1
MMNH,1
CBK,1
NHRC,1
RGM,1
CWNU,1
NMZ,1
MCLPGC,1
MUHNAC/MB01/006000,1
STILLWATER,1
WHT,1
IZEA,1
MBL,1
TAU,1
ÄM,1
IBE,1
JAG,1
LARGER,1
XZ2024037,1
XZ2023107,1
UMAZC,1
XZ2024038,1
XZ2023010,1
XZ2023082,1
MHNLCF,1
UZDZ,1
TISTR,1
MLZA,1
K-EE-12-31,1
NAMRU,1
PENNANT'S,1
GHENT,1
WRM,1
SNHM,1
MHNSAAC,1
