priority,review_category,likely_action,prefix_species_count,species_id,sci_name,main_common_name,order,family,type_kind,type_voucher,extracted_voucher_prefix,candidate_prefix_to_research,type_locality,type_voucher_uris,extinct,domestic
3_low,field_or_sequence_number,"Likely field/sample/site number; use original description to find the repository, not the token itself.",1,1000951,Microcebus_macarthurii,Anjiahely Mouse Lemur,Primates,Cheirogaleidae,holotype,001y07hely,001Y07HELY,001Y07HELY,"Madagascar, province of Antsiranana, Anjiahely (c.15° 24' S, 49° 29' E).",,False,False
3_low,field_or_sequence_number,"Likely field/sample/site number; use original description to find the repository, not the token itself.",1,1000946,Microcebus_gerpi,Gerp's Mouse Lemur,Primates,Cheirogaleidae,holotype,002y09fina,002Y09FINA,002Y09FINA,"Madagascar, Province of Toamasina, Forest of Sahafina (18° 47' 28.7"" S, 48° 58' 56.2"" E), in a savoka at about 95 m above sea level, in the rural community of Anivorano-East.",,False,False
3_low,field_or_sequence_number,"Likely field/sample/site number; use original description to find the repository, not the token itself.",1,1000944,Microcebus_danfossi,Ambarijeby Mouse Lemur,Primates,Cheirogaleidae,holotype,038y04koa,038Y04KOA,038Y04KOA,"province de Mahajanga, a forest fragment (c.14° 56' S, 47° 42' E) belonging to the village of Ambarijeby (between Analalava and Antsohihy).",,False,False
3_low,field_or_sequence_number,"Likely field/sample/site number; use original description to find the repository, not the token itself.",1,1004390,Aproteles_bulmerae,Bulmer's Fruit Bat,Chiroptera,Pteropodidae,holotype,K-EE-12-31,K-EE-12-31,K,"2 km south-east of Chuave Government Station, 1530 m, Chimbu Province, Papua New Guinea.",,False,False
3_low,field_or_sequence_number,"Likely field/sample/site number; use original description to find the repository, not the token itself.",1,1000954,Microcebus_margotmarshae,Margot Marsh's Mouse Lemur,Primates,Cheirogaleidae,holotype,TAFO6.1,TAFO6.1,TAFO6,"Madagascar, province of Antsiranana, Antafondro Classified Forest (approximately 14° 02' 44.5"" S, 48° 13' 23.4"" E, 134 m above sea level).",,False,False
3_low,field_or_sequence_number,"Likely field/sample/site number; use original description to find the repository, not the token itself.",1,1006826,Octomys_rosiae,Rosi's Viscacha Rat,Rodentia,Octodontidae,holotype,VG-Q1 1800,VG-Q1,VG,"""Vaquería Gruta 1 site (32°31ʹS; 69°00ʹW; 1,650 m asl), Quebrada de Villavicencio, Mendoza Province, western Argentina, Late Holocene""",,True,False
3_low,field_or_sequence_number,"Likely field/sample/site number; use original description to find the repository, not the token itself.",1,1006945,Murina_milinensis,Milin Tube-nosed Bat,Chiroptera,Vespertilionidae,holotype,XZ2023010,XZ2023010,XZ,"""Nanyi Lhoba Township, Milin County, Nyingchi City, Xizang Autonomous Region, China (29.1598922°N, 94.20712670°E; ca. 3020 m. a.s.l.; Fig. 1).""",,False,False
3_low,field_or_sequence_number,"Likely field/sample/site number; use original description to find the repository, not the token itself.",1,1006947,Murina_yadongensis,Yadong Tube-nosed Bat,Chiroptera,Vespertilionidae,holotype,XZ2023082,XZ2023082,XZ,"""Boluoka, Xiayadong Township, Yadong County, Shigatse City, Xizang Autonomous Region, China (27.36420685°N, 88.97613108°E; ca. 2775 m. a.s.l.; Fig. 1).""",,False,False
3_low,field_or_sequence_number,"Likely field/sample/site number; use original description to find the repository, not the token itself.",1,1006942,Murina_chayuensis,Chayu Tube-nosed Bat,Chiroptera,Vespertilionidae,holotype,XZ2023107,XZ2023107,XZ,"""Chayu County, Linzhi City, Xizang, China (28°29'51.12""N, 97°0'53.87""E, 1511 m a.s.l; Fig. 1).""",,False,False
3_low,field_or_sequence_number,"Likely field/sample/site number; use original description to find the repository, not the token itself.",1,1006943,Murina_beibengensis,Beibeng Tube-nosed Bat,Chiroptera,Vespertilionidae,holotype,XZ2024037,XZ2024037,XZ,"""Beibeng Township, Medog County, Nyingchi City, Xizang Autonomous Region, China (29.22926454°N, 95.15008271°E; ca. 864 m. a.s.l.; Fig. 1).""",,False,False
3_low,field_or_sequence_number,"Likely field/sample/site number; use original description to find the repository, not the token itself.",1,1006944,Murina_medogensis,Medog Tube-nosed Bat,Chiroptera,Vespertilionidae,holotype,XZ2024038,XZ2024038,XZ,"""Medog Town, Medog County, Nyingchi City, Xizang Autonomous Region, China (29.29867524°N, 95.28785706°E; ca. 813 m. a.s.l.; Fig. 1).""",,False,False
3_low,locality_or_person_name,Likely locality/person text rather than a museum code; verify manually before adding metadata.,1,1003030,Tokudaia_osimensis,Amami Spiny Rat,Rodentia,Muridae,syntypes,Abe (unnumbered),ABE,ABE,"Sumiyo, Mt. Kiyago-kan, Amami-oshima, Ryukyu Iskands, Japan.",,False,False
3_low,locality_or_person_name,Likely locality/person text rather than a museum code; verify manually before adding metadata.,1,1003520,Chiromyscus_langbianis,Langbian Tree Rat,Rodentia,Muridae,holotype,CBK 3556,CBK,CBK,"""Langbian Peaks, South Annam, 5500–6500 ft. [= 1676–1981 m].""",,False,False
