matched_abbreviation,matched_name,vouchers,geocoded
ANSP,Academy of Natural Sciences of Drexel University,43,3
KM,Amathole Museum,4,0
AMNH,American Museum of Natural History,335,81
AHNU,Anhui Normal University,3,3
AHUB,Anhui Normal University,6,6
AM,Australian Museum,80,41
ANWC,Australian National Wildlife Collection,4,3
BPBM,Bernice Pauahi Bishop Museum,12,10
CSIRO,CSIRO Australian National Wildlife Collection,6,4
CAS,California Academy of Sciences,10,3
CMN,Canadian Museum of Nature,2,1
CM,Carnegie Museum of Natural History,22,13
TNRC,Centre for Thai National Reference Collections,5,4
UFMG,"Centro de Coleções Taxonômicas, Universidade Federal de Minas Gerais",3,3
CEBIOMAS,"Centro de Ecología y Biodiversidad, Lima, Peru",2,2
CIB,Centro de Investigaciones Biológicas del Noroeste,2,2
CZL,"Centro de Zoologica, Instituto de Investigação Científica Tropical",1,0
CML,Colección Mamíferos Lillo,9,9
CMI,Colección Mastozoológica del IADIZA,6,5
CNM,Colección Nacional de Mamíferos (UNAM),3,3
CNMA,Colección Nacional de Mamíferos (UNAM),7,4
CTUA,"Colección Teriológica de la Universidad de Antioquia, Medellín",1,1
ICN,"Colección de Mamíferos Alberto Cadena García, Instituto de Ciencias Naturales, Bogotá",11,8
UACH,Colección de Mamíferos de la Universidad Austral de Chile,4,4
CNP,Colección de Mamíferos del Centro Nacional Patagónico,3,3
CVULA,Colección de Vertebrados de la Universidad de los Andes,6,5
CBF,Coleccíon Boliviana de Fauna,1,1
CMUFLA,Coleção de Mamíferos da Universidade Federal de Lavras,2,2
UFRGS,Coleção de Mamíferos do Departamento de Zoologia da UFRGS,2,2
DZUP,"Departamento de Zoologia, Setor de Ciências Biológicas, Universidade Federal do Paraná",1,1
THUMB,"Department of Biology, Tunghai University",1,1
DZAB,Department of Zoology and Biological Anthropology of the University of Sassari,1,1
TM,Ditsong National Museum of Natural History,22,7
DMNH,Durban Natural Science Museum,4,2
DNSM,Durban Natural Science Museum,8,7
QCAZ,"El Museo de Zoología, Pontificia Universidad Católica del Ecuador",9,9
ENCB,Escuela Nacional de Ciencias Biológicas,2,2
EBD,Estación Biológica de Doñana,7,6
FMNH,Field Museum of Natural History,250,159
UF,"Florida Museum of Natural History, University of Florida",10,8
SMF,Forschungsinstitut und Naturmuseum Senckenberg,56,20
FMSM,Fukushima City Museum of Natural History,6,0
GNMT,Georgian National Museum,4,1
HZM,Harrison Zoological Institute,6,6
HNHM,Hungarian Natural History Museum,18,10
IBSS,"Institute of Biology and Soil Science, Far East Branch of the Russian Academy of Sciences",3,3
IEBR,Institute of Ecology and Biological Resources,8,8
IES,Institute of Ecology and Systematics,5,3
BIZ,Institute of Zoology (Beijing) specimen catalog,11,6
ISAM,Iziko South African Museum,3,0
GZHU,"Key Laboratory of Conservation and Application in Biodiversity of South China, School of Life Sciences, Guangzhou University",2,2
KIZ,Kunming Institute of Zoology,23,20
KUZ,Kyoto University Museum,1,1
LSUMZ,Louisiana State University Museum of Zoology,11,9
MMUS,"Macleay Museum, University of Sydney",4,0
MMK,McGregor Museum,1,1
MNKG,Mongolian Natural History Museum,1,1
MACN,Museo Argentino de Ciencias Naturales Bernardino Rivadavia,2,1
MACN-MA,Museo Argentino de Ciencias Naturales Bernardino Rivadavia,17,8
MECN,"Museo Ecuatoriano de Ciencias Naturales, Ecuador",13,13
