issue_type,voucher_prefix,species_count,related_metadata_abbreviations,example_species,notes
alias_prefix_missing,CMI,5,CM,Salinomys_delicatus; Akodon_oenos; Phyllotis_pehuenche,Voucher prefix absent from metadata; shorter/longer related code exists (NRM-style mismatch).
alias_prefix_missing,KURODA,5,KU,Alexandromys_kikuchii; Crocidura_tanakae; Mogera_tokudae,Voucher prefix absent from metadata; shorter/longer related code exists (NRM-style mismatch).
alias_prefix_missing,BMNH:PV:M,4,BM; BMNH,Crocidura_katinka; Myomimus_roachi; Pennatomys_nivalis,Voucher prefix absent from metadata; shorter/longer related code exists (NRM-style mismatch).
alias_prefix_missing,UFMG,3,UF,Rhipidomys_tribei; Cyclopes_xinguensis; Cyclopes_rufus,Voucher prefix absent from metadata; shorter/longer related code exists (NRM-style mismatch).
alias_prefix_missing,BMNH:MAMM:1855.12.24.185,2,BM; BMNH,Leopardus_pardinoides; Phyllotis_xanthopygus,Voucher prefix absent from metadata; shorter/longer related code exists (NRM-style mismatch).
alias_prefix_missing,BMNH:MAMM:1907.1.1.339,2,BM; BMNH,Nyctophilus_gouldi; Lyroderma_sinense,Voucher prefix absent from metadata; shorter/longer related code exists (NRM-style mismatch).
alias_prefix_missing,BMNH:MAMM:22A,2,BM; BMNH,Hipposideros_fulvus; Sekeetamys_calurus,Voucher prefix absent from metadata; shorter/longer related code exists (NRM-style mismatch).
alias_prefix_missing,BMNH:PV:OR,2,BM; BMNH,Alticola_roylei; Lasiorhinus_krefftii,Voucher prefix absent from metadata; shorter/longer related code exists (NRM-style mismatch).
alias_prefix_missing,CMN,2,CM,Phenacomys_intermedius; Dicrostonyx_nunatakensis,Voucher prefix absent from metadata; shorter/longer related code exists (NRM-style mismatch).
alias_prefix_missing,MNHN-ZM-MO-1867-146,2,MN; MNHN,Cricetulus_longicaudatus; Lasiopodomys_mandarinus,Voucher prefix absent from metadata; shorter/longer related code exists (NRM-style mismatch).
alias_prefix_missing,NU,2,NUPECCE,Nannospalax_karyominor; Nannospalax_colaki,Voucher prefix absent from metadata; shorter/longer related code exists (NRM-style mismatch).
alias_prefix_missing,TTU-M,2,TTU,Lepilemur_hollandorum; Cheirogaleus_grovesi,Voucher prefix absent from metadata; shorter/longer related code exists (NRM-style mismatch).
alias_prefix_missing,UFRGS,2,UF,Ctenomys_lami; Ctenomys_flamarioni,Voucher prefix absent from metadata; shorter/longer related code exists (NRM-style mismatch).
alias_prefix_missing,ZSIS,2,ZSI,Myotis_himalaicus; Glischropus_meghalayanus,Voucher prefix absent from metadata; shorter/longer related code exists (NRM-style mismatch).
prefix_not_in_metadata,GNMT,4,,Microtus_transcaspicus; Nannospalax_nehringi; Microtus_schelkovnikovi,Voucher prefix not in metadata; no related abbreviation detected.
prefix_not_in_metadata,KM,4,,Petromyscus_barbouri; Cryptochloris_zyli; Chrysochloris_visagiei,Voucher prefix not in metadata; no related abbreviation detected.
prefix_not_in_metadata,MMUS,4,,Dendrolagus_dorianus; Petrogale_assimilis; Dorcopsulus_macleayi,Voucher prefix not in metadata; no related abbreviation detected.
prefix_not_in_metadata,UANT,4,,Laephotis_robertsi; Voalavo_antsahabensis; Scotophilus_tandrefana,Voucher prefix not in metadata; no related abbreviation detected.
prefix_not_in_metadata,ULPS,4,,Avahi_meridionalis; Avahi_peyrierasi; Avahi_ramanantsoavani,Voucher prefix not in metadata; no related abbreviation detected.
prefix_not_in_metadata,ZMNTU,4,,Murina_gracilis; Harpiola_isodon; Murina_bicolor,Voucher prefix not in metadata; no related abbreviation detected.
prefix_not_in_metadata,AHNU,3,,Parablarinella_latimaxillata; Uropsilus_huanggangensis; Mesechinus_orientalis,Voucher prefix not in metadata; no related abbreviation detected.
prefix_not_in_metadata,CNP,3,,Tympanoctomys_kirchnerorum; Oecomys_franciscorum; Akodon_philipmyersi,Voucher prefix not in metadata; no related abbreviation detected.
