sci_name,type_voucher,voucher_prefix,matched_abbreviation,issue
Moschus_chrysogaster,BMNH:Mamm:1843.1.12.93,BMNH:MAMM:1843.1.12.93,BMNH,prefix_missing_from_metadata
Moschus_cupreus,USNM:MAMM:63472,USNM:MAMM:63472,USNM,prefix_missing_from_metadata
Moschus_leucogaster,BMNH:Mamm:1843.1.12.95,BMNH:MAMM:1843.1.12.95,BMNH,prefix_missing_from_metadata
Hydropotes_inermis,BMNH:Mamm:1870.7.18.15 (= BMNH:Mamm:1551a),BMNH:MAMM:1870.7.18.15,BMNH,prefix_missing_from_metadata
Andinocervus_rufinus,"MNHN-ZM-MO-1851-61 (= MNHN:type:553) (= MNHN ""293-533"")",MNHN-ZM-MO-1851-61,MNHN,prefix_missing_from_metadata
Bisbalus_citus,FMNH:Mamm:18776,FMNH:MAMM:18776,FMNH,prefix_missing_from_metadata
Hippocamelus_antisensis,"MNHN-ZM-MO-1829-44 (= MNHN ""287-480A""), MNHN ""286-482"", MNHN ""288-483""",MNHN-ZM-MO-1829-44,MNHN,prefix_missing_from_metadata
Mazama_jucunda,BMNH:Mamm:1903.7.1.103,BMNH:MAMM:1903.7.1.103,BMNH,prefix_missing_from_metadata
Mazama_reperticia,USNM:MAMM:171673,USNM:MAMM:171673,USNM,prefix_missing_from_metadata
Mazama_zetta,BMNH:Mamm:1878.8.31.3,BMNH:MAMM:1878.8.31.3,BMNH,prefix_missing_from_metadata
Odocoileus_pandora,USNM:MAMM:108273,USNM:MAMM:108273,USNM,prefix_missing_from_metadata
Pudella_mephistophiles,BMNH:Mamm:1896.1.28.6,BMNH:MAMM:1896.1.28.6,BMNH,prefix_missing_from_metadata
Axis_kuhlii,"RMNH.MAM.43558, RMNH.MAM.43559, RMNH.MAM.51339","RMNH.MAM.43558,",RMNH,prefix_missing_from_metadata
Cervus_nippon,RMNH.MAM.25987,RMNH.MAM.25987,RMNH,prefix_missing_from_metadata
Dama_mesopotamica,"BMNH:Mamm:1895.4.7.1, BMNH:Mamm:1897.11.11.1, BMNH:Mamm:1897.11.11.2","BMNH:MAMM:1895.4.7.1,",BMNH,prefix_missing_from_metadata
Elaphurus_davidianus,MNHN-ZM-MO-1866-86 (= MNHN:AGal:364bis) (= MNHN:type:541),MNHN-ZM-MO-1866-86,MNHN,prefix_missing_from_metadata
Rucervus_duvaucelii,MNHN:type:540,MNHN:TYPE:540,MNHN,prefix_missing_from_metadata
Rucervus_schomburgki,"BMNH:Mamm:1891.12.2.1, BMNH:Mamm:1891.12.2.2","BMNH:MAMM:1891.12.2.1,",BMNH,prefix_missing_from_metadata
Rusa_alfredi,BMNH:Mamm:1876.2.30.1,BMNH:MAMM:1876.2.30.1,BMNH,prefix_missing_from_metadata
Rusa_marianna,"MNHN:AGal:414a, MNHN (unnumbered)","MNHN:AGAL:414A,",MNHN,prefix_missing_from_metadata
Rusa_timorensis,"RMNH.MAM.51426, RMNH.MAM.51427.A, RMNH.MAM.51427.B, RMNH.MAM.51429","RMNH.MAM.51426,",RMNH,prefix_missing_from_metadata
Elaphodus_cephalophus,"MNHN-ZM-MO-1870-551 (= MNHN:type:522) (= MNHN ""196-453 A"")",MNHN-ZM-MO-1870-551,MNHN,prefix_missing_from_metadata
Muntiacus_atherodes,BMNH:Mamm:1971.3088,BMNH:MAMM:1971.3088,BMNH,prefix_missing_from_metadata
Muntiacus_crinifrons,BMNH:Mamm:1891.3.4.1,BMNH:MAMM:1891.3.4.1,BMNH,prefix_missing_from_metadata
Muntiacus_montanus,BMNH:Mamm:1919.11.12.26,BMNH:MAMM:1919.11.12.26,BMNH,prefix_missing_from_metadata
Muntiacus_reevesi,BMNH:Mamm:1855.12.24.283,BMNH:MAMM:1855.12.24.283,BMNH,prefix_missing_from_metadata
