sci_name,type_voucher
Avahi_cleesei,"""_Avahi_ male (body weight = 830 g) captured in Bemaraha on 3 October 1991."" The specimen was released."
Microcebus_macarthurii,001y07hely
Microcebus_gerpi,002y09fina
Microcebus_danfossi,038y04koa
Parablarinella_latimaxillata,AHNU 202109061
Uropsilus_huanggangensis,AHNU 2022013
Mesechinus_orientalis,AHNU XC 23001
Chodsigoa_dabieshanensis,AHUB 2008FZL005
Moschus_anhuiensis,AHUB 7903
Uropsilus_dabieshanensis,AHUB AE1807FZL007
Typhlomys_huangshanensis,AHUB AE1902HS03
Crocidura_huangshanensis,AHUB HS10
Crocidura_anhuiensis,AHUB HST1702
Rhinopithecus_strykeri,AIMZ 15504
Myotis_izecksohni,ALP 6675
Dryadonycteris_capixaba,ALP 9667
Scarturus_heptneri,ASRU 424
Tokudaia_osimensis,Abe (unnumbered)
Crocidura_wuchihensis,BIZ 13874
Orientallactaga_balikunica,BIZ 20071
Dobsonia_viridis,"BIZ 2A (= ""H1573""), BIZ 2B (= ""H1572""), BIZ 2C (= ""H1574""), BIZ 2D (= ""H1570""), BIZ 2E (= ""H1576""), BIZ 2F (= ""H1571""), BIZ 2G (= ""H1574"")"
Neohylomys_hainanensis,BIZ 70886
Niviventer_fengi,BIZ CAS JL17111
Niviventer_gladiusmaculus,BIZ CAS XZ70
Apodemus_nigrus,BIZ GZ14081
Axis_calamianensis,BIZ H 1B
Mustela_mopbie,BIZ MB240076
Sus_cebifrons,BIZ NS 4a
Barbastella_beijingensis,BIZ-BRG00054
Latidens_salimalii,BNHS 1563
Otomys_zinki,Bohmann collection 548
Otomys_sungae,Bohmann collection 582
Civettictis_civetta,Buffon's specimen
Sciurillus_pusillus,Buffon's specimen
Chiromyscus_langbianis,CBK 3556
Oligoryzomys_brendae,CFA-MA-00482
Ctenomys_dorbignyi,CFA-MA-11584
Ctenomys_thalesi,CFA-MA-11849
Ctenomys_contrerasi,CFA-MA-11853
Ctenomys_bidaui,CFA-MA-11867
Ctenomys_pilarensis,CFA-MA-11970
Ctenomys_argentinus,CFA-MA-12016
Ctenomys_osvaldoreigi,CFA-MA-12170
Bibimys_torresi,CFA-MA-5067
Miniopterus_phillipsi,CNM 2021.03.01.NH
